titolo|URI|datetimeUno|gruppo|luogo|datetimeDue
Sedute 853ª e 854ª (XVII legislatura)|/scheda/513961/sedute-853a-e-854a-xvii-legislatura|2017-07-06T09:35:16+02:00|Videoparlamento|SENATO - |2017-07-06T09:35:16+02:00
Sedute 851ª e 852ª (XVII legislatura)|/scheda/513843/sedute-851a-e-852a-xvii-legislatura|2017-07-05T09:34:20+02:00|Videoparlamento|SENATO - |2017-07-05T09:34:20+02:00
Incontro con Raffaele Cantone, Presidente dell'Autorità Nazionale Anticorruzione|/scheda/513761/incontro-con-raffaele-cantone-presidente-dellautorita-nazionale-anticorruzione|2017-07-04T09:16:00+02:00|Dibattiti|Palermo - |2017-07-04T09:16:00+02:00
Seduta 849ª (XVII legislatura)|/scheda/513335/seduta-849a-xvii-legislatura|2017-06-29T09:32:56+02:00|Videoparlamento|SENATO - |2017-06-29T09:32:56+02:00
Sedute 847ª e 848ª (XVII legislatura)|/scheda/513207/sedute-847a-e-848a-xvii-legislatura|2017-06-28T09:34:35+02:00|Videoparlamento|SENATO - |2017-06-28T09:34:35+02:00
Sedute 845ª e 846ª (XVII legislatura)|/scheda/513084/sedute-845a-e-846a-xvii-legislatura|2017-06-27T10:59:53+02:00|Videoparlamento|SENATO - |2017-06-27T10:59:53+02:00
Sedute 843ª e 844ª (XVII legislatura)|/scheda/512462/sedute-843a-e-844a-xvii-legislatura|2017-06-21T09:34:17+02:00|Videoparlamento|SENATO - |2017-06-21T09:34:17+02:00
Sedute 841ª e 842ª (XVII legislatura)|/scheda/512365/sedute-841a-e-842a-xvii-legislatura|2017-06-20T11:07:33+02:00|Videoparlamento|SENATO - |2017-06-20T11:07:33+02:00
Sedute 838ª e 839ª (XVII legislatura)|/scheda/511822/sedute-838a-e-839a-xvii-legislatura|2017-06-14T09:35:20+02:00|Videoparlamento|SENATO - |2017-06-14T09:35:20+02:00
Dalla confisca dei beni all’accoglienza turistica. Viaggio dell’ANBSC nel mondo delle Aziende|/scheda/507284/dalla-confisca-dei-beni-allaccoglienza-turistica-viaggio-dellanbsc-nel-mondo-delle|2017-04-27T11:40:00+02:00|Dibattiti|Palermo - |2017-04-27T11:40:00+02:00
